DLP
LATEST_ANNOUNCEMENT_DT
3/21/1996
7/9/1996
10/15/1996
12/19/1996
3/25/1997
6/26/1997
10/14/1997
12/22/1997
3/24/1998
6/26/1998
10/27/1998
1/6/1999
4/13/1999
7/14/1999
11/23/1999
1/14/2000
3/21/2000
6/20/2000
10/3/2000
1/3/2001
3/27/2001
6/26/2001
10/11/2001
1/3/2002
3/27/2002
6/24/2002
10/15/2002
1/3/2003
3/26/2003
7/7/2003
10/28/2003
1/6/2004
4/1/2004
7/9/2004
10/26/2004
1/4/2005
4/1/2005
7/6/2005
11/2/2005
1/6/2006
4/4/2006
7/6/2006
10/24/2006
12/27/2006
4/9/2007
