MAN
LATEST_ANNOUNCEMENT_DT
7/28/1993
10/28/1993
2/23/1994
4/26/1994
7/25/1994
10/24/1994
2/2/1995
4/19/1995
7/18/1995
10/18/1995
2/7/1996
4/25/1996
7/25/1996
10/24/1996
2/6/1997
4/24/1997
7/24/1997
10/23/1997
2/12/1998
4/24/1998
7/21/1998
10/20/1998
2/23/1999
4/23/1999
7/26/1999
10/27/1999
2/15/2000
4/19/2000
7/25/2000
10/30/2000
2/5/2001
4/23/2001
7/19/2001
10/18/2001
1/30/2002
4/16/2002
7/17/2002
10/17/2002
1/29/2003
4/15/2003
7/17/2003
10/16/2003
1/29/2004
4/19/2004
7/20/2004
10/19/2004
2/1/2005
4/19/2005
7/19/2005
10/19/2005
1/27/2006
4/18/2006
7/19/2006
10/17/2006
1/30/2007
4/20/2007
7/19/2007
10/17/2007
2/1/2008
4/18/2008
7/18/2008
10/21/2008
2/3/2009
4/21/2009
7/23/2009
10/21/2009
2/2/2010
4/21/2010
7/21/2010
10/20/2010
2/2/2011
4/21/2011
7/21/2011
10/21/2011
2/1/2012
4/20/2012
7/20/2012
10/19/2012
1/30/2013
4/19/2013
7/19/2013
10/21/2013
1/30/2014
4/23/2014
7/21/2014
10/21/2014
1/30/2015
4/21/2015
7/21/2015
10/21/2015
02/03/2016
04/21/2016
07/21/2016
10/21/2016
01/31/2017
04/20/2017
