ROIAK
LATEST_ANNOUNCEMENT_DT
5/14/1997
8/13/1997
11/7/1997
3/31/1998
5/14/1998
8/14/1998
11/12/1998
3/31/1999
5/12/1999
8/5/1999
10/28/1999
2/10/2000
5/4/2000
8/3/2000
11/2/2000
2/8/2001
5/3/2001
8/2/2001
11/6/2001
2/21/2002
5/3/2002
7/31/2002
10/30/2002
2/11/2003
5/8/2003
8/7/2003
11/12/2003
2/10/2004
4/29/2004
7/29/2004
11/4/2004
2/17/2005
5/5/2005
8/4/2005
11/7/2005
2/23/2006
5/4/2006
8/7/2006
11/2/2006
3/21/2007
6/25/2007
8/2/2007
11/6/2007
2/21/2008
5/8/2008
8/5/2008
11/6/2008
2/19/2009
5/11/2009
8/6/2009
10/29/2009
3/30/2010
5/17/2010
8/17/2010
11/4/2010
3/3/2011
5/12/2011
8/4/2011
11/3/2011
3/15/2012
5/3/2012
8/2/2012
11/1/2012
2/20/2013
5/9/2013
8/13/2013
11/7/2013
2/20/2014
5/8/2014
8/5/2014
11/12/2014
2/12/2015
5/1/2015
8/6/2015
11/5/2015
2/25/2016
