3131657Q
LATEST_ANNOUNCEMENT_DT
3/31/1999
6/30/1999
11/12/1999
1/31/2000
4/27/2000
7/27/2000
10/26/2000
2/8/2001
4/26/2001
7/25/2001
10/25/2001
1/29/2002
4/25/2002
7/25/2002
10/24/2002
1/30/2003
4/24/2003
7/24/2003
10/23/2003
1/29/2004
4/22/2004
7/22/2004
10/21/2004
2/17/2005
4/26/2005
7/26/2005
10/25/2005
2/15/2006
4/26/2006
7/25/2006
10/25/2006
