ENZ
LATEST_ANNOUNCEMENT_DT
6/14/1996
10/30/1996
12/13/1996
3/14/1997
6/13/1997
10/29/1997
12/15/1997
3/12/1998
6/15/1998
10/29/1998
12/15/1998
3/16/1999
6/14/1999
10/27/1999
12/16/1999
3/16/2000
6/15/2000
10/30/2000
12/14/2000
3/15/2001
6/14/2001
10/29/2001
12/17/2001
3/18/2002
6/17/2002
10/29/2002
12/16/2002
3/14/2003
6/16/2003
10/29/2003
12/15/2003
3/16/2004
6/14/2004
10/14/2004
12/13/2004
3/14/2005
6/9/2005
10/14/2005
12/12/2005
3/13/2006
6/9/2006
10/13/2006
12/11/2006
3/12/2007
6/11/2007
10/15/2007
12/10/2007
3/11/2008
6/9/2008
10/14/2008
12/10/2008
3/12/2009
6/15/2009
10/14/2009
12/10/2009
3/12/2010
6/9/2010
10/14/2010
12/10/2010
3/14/2011
6/9/2011
10/14/2011
12/12/2011
3/12/2012
6/11/2012
10/15/2012
12/10/2012
3/12/2013
6/10/2013
10/15/2013
12/10/2013
3/11/2014
6/9/2014
10/9/2014
12/9/2014
3/12/2015
6/9/2015
10/13/2015
12/7/2015
3/9/2016
