PLUS
LATEST_ANNOUNCEMENT_DT
8/8/1997
11/12/1997
2/12/1998
6/24/1998
8/14/1998
11/12/1998
2/16/1999
6/21/1999
8/16/1999
11/15/1999
2/14/2000
6/8/2000
8/9/2000
11/13/2000
2/13/2001
6/11/2001
8/14/2001
11/13/2001
2/13/2002
6/25/2002
8/13/2002
11/13/2002
2/14/2003
6/25/2003
8/13/2003
11/12/2003
2/13/2004
6/15/2004
8/16/2004
11/15/2004
2/14/2005
6/29/2005
8/15/2005
11/14/2005
2/13/2006
8/16/2007
9/21/2007
10/9/2007
11/7/2007
2/8/2008
3/31/2008
4/16/2008
5/5/2008
7/3/2008
8/14/2008
11/13/2008
2/18/2009
6/16/2009
8/10/2009
11/5/2009
2/5/2010
6/14/2010
8/5/2010
11/4/2010
2/3/2011
6/8/2011
8/4/2011
11/3/2011
2/6/2012
6/13/2012
8/6/2012
11/5/2012
2/6/2013
6/4/2013
8/6/2013
11/7/2013
2/5/2014
6/3/2014
8/6/2014
11/5/2014
2/5/2015
5/28/2015
8/5/2015
11/4/2015
2/4/2016
05/25/2016
08/02/2016
11/03/2016
02/02/2017
05/24/2017
