EBIX
LATEST_ANNOUNCEMENT_DT
5/21/1996
7/31/1996
11/12/1996
1/24/1997
5/8/1997
4/3/2000
5/17/1999
8/2/1999
11/10/1999
6/1/2000
6/15/2000
8/15/2000
11/8/2000
3/30/2001
5/11/2001
8/3/2001
11/20/2001
3/27/2002
5/9/2002
8/14/2002
11/13/2002
3/31/2003
5/21/2003
8/15/2003
11/11/2003
3/30/2004
5/17/2004
8/16/2004
11/16/2004
3/31/2005
4/29/2005
8/1/2005
10/31/2005
3/16/2006
5/11/2006
8/14/2006
11/14/2006
4/2/2007
5/15/2007
8/6/2007
10/31/2007
3/7/2008
5/5/2008
8/1/2008
11/6/2008
3/30/2009
5/6/2009
8/5/2009
11/4/2009
3/8/2010
5/7/2010
8/9/2010
11/9/2010
3/14/2011
5/10/2011
8/9/2011
11/8/2011
3/13/2012
5/8/2012
8/7/2012
11/8/2012
3/14/2013
5/10/2013
8/9/2013
11/8/2013
3/14/2014
5/9/2014
8/8/2014
11/7/2014
3/13/2015
5/8/2015
8/7/2015
11/6/2015
2/29/2016
05/09/2016
08/08/2016
11/09/2016
02/28/2017
05/08/2017
