SEIEQ
LATEST_ANNOUNCEMENT_DT
5/3/1996
8/1/1996
11/1/1996
3/19/1997
5/15/1997
8/14/1997
11/11/1997
3/26/1998
5/1/1998
7/28/1998
11/4/1998
3/3/1999
5/6/1999
7/29/1999
11/5/1999
3/2/2000
5/5/2000
8/3/2000
11/2/2000
3/5/2001
5/2/2001
8/14/2001
11/14/2001
4/1/2002
5/15/2002
8/19/2002
11/11/2002
3/31/2003
5/15/2003
8/14/2003
11/14/2003
3/30/2004
5/10/2004
8/13/2004
11/22/2004
3/29/2005
5/12/2005
8/11/2005
11/8/2005
