BSPT
LATEST_ANNOUNCEMENT_DT
4/30/1996
8/14/1996
10/28/1996
1/27/1997
5/6/1997
8/18/1997
10/27/1997
1/20/1998
4/27/1998
7/27/1998
11/11/1998
1/21/1999
5/10/1999
8/3/1999
10/26/1999
1/19/2000
4/24/2000
