SLXP
LATEST_ANNOUNCEMENT_DT
5/15/2000
8/14/2000
11/14/2000
3/30/2001
5/1/2001
8/1/2001
11/1/2001
2/12/2002
5/15/2002
7/30/2002
10/28/2002
2/11/2003
5/14/2003
7/29/2003
10/28/2003
2/3/2004
4/26/2004
8/9/2004
11/9/2004
2/15/2005
5/11/2005
8/9/2005
11/8/2005
2/24/2006
5/4/2006
8/8/2006
11/7/2006
2/28/2007
5/8/2007
8/2/2007
11/6/2007
3/3/2008
5/6/2008
8/4/2008
11/5/2008
3/10/2009
5/5/2009
8/10/2009
11/9/2009
3/9/2010
5/10/2010
8/9/2010
11/8/2010
2/28/2011
5/5/2011
8/8/2011
11/8/2011
2/27/2012
5/7/2012
8/8/2012
11/7/2012
2/28/2013
5/9/2013
8/8/2013
11/7/2013
2/27/2014
5/8/2014
8/7/2014
11/6/2014
3/2/2015
