NAFC
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/15/1996
11/7/1996
2/24/1997
4/28/1997
7/17/1997
11/13/1997
3/5/1998
5/7/1998
7/21/1998
11/11/1998
2/8/1999
4/28/1999
7/21/1999
11/18/1999
2/23/2000
4/19/2000
7/17/2000
11/2/2000
2/26/2001
4/19/2001
7/12/2001
11/1/2001
2/20/2002
4/18/2002
7/15/2002
5/12/2003
5/12/2003
5/22/2003
7/10/2003
10/31/2003
2/26/2004
4/22/2004
7/15/2004
11/4/2004
3/2/2005
4/21/2005
7/21/2005
11/10/2005
3/16/2006
4/27/2006
7/20/2006
11/14/2006
3/1/2007
4/25/2007
7/19/2007
11/13/2007
2/28/2008
4/24/2008
7/17/2008
11/6/2008
3/12/2009
5/4/2009
7/28/2009
11/12/2009
3/4/2010
4/30/2010
7/22/2010
11/16/2010
3/3/2011
4/28/2011
7/21/2011
11/10/2011
3/1/2012
4/27/2012
7/19/2012
11/15/2012
2/28/2013
4/25/2013
7/25/2013
11/12/2013
