SMRT
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
2/25/1997
4/22/1997
7/22/1997
10/21/1997
3/4/1998
4/28/1998
7/28/1998
10/27/1998
3/2/1999
4/27/1999
7/27/1999
10/26/1999
2/29/2000
4/25/2000
7/25/2000
11/14/2000
3/6/2001
3/14/2002
6/17/2002
8/27/2002
11/21/2002
3/12/2003
5/22/2003
8/21/2003
11/20/2003
3/18/2004
5/20/2004
8/19/2004
11/18/2004
3/17/2005
5/19/2005
8/18/2005
11/17/2005
3/21/2006
5/18/2006
8/17/2006
11/16/2006
3/21/2007
5/24/2007
8/23/2007
11/29/2007
3/20/2008
5/22/2008
8/21/2008
11/20/2008
3/19/2009
5/21/2009
8/20/2009
11/19/2009
3/18/2010
5/20/2010
8/19/2010
11/18/2010
3/10/2011
5/19/2011
8/18/2011
11/17/2011
3/8/2012
5/17/2012
8/16/2012
5/3/2013
5/3/2013
5/23/2013
8/22/2013
11/21/2013
3/13/2014
5/22/2014
8/21/2014
11/20/2014
3/12/2015
5/21/2015
8/20/2015
11/19/2015
3/10/2016
05/19/2016
08/19/2016
11/17/2016
03/08/2017
