SRCTQ
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/18/1996
10/17/1996
2/4/1997
4/16/1997
7/17/1997
10/16/1997
2/3/1998
4/27/1998
7/21/1998
10/15/1998
2/5/1999
4/21/1999
7/22/1999
11/15/1999
2/17/2000
4/20/2000
7/20/2000
10/19/2000
1/25/2001
4/18/2001
7/19/2001
10/19/2001
1/31/2002
4/18/2002
7/19/2002
10/18/2002
2/7/2003
4/24/2003
7/25/2003
10/24/2003
2/12/2004
4/26/2004
7/22/2004
10/22/2004
2/21/2005
4/28/2005
7/28/2005
10/27/2005
3/6/2006
4/27/2006
7/27/2006
10/27/2006
2/23/2007
4/27/2007
7/27/2007
10/26/2007
2/22/2008
4/25/2008
7/25/2008
10/24/2008
2/20/2009
4/23/2009
7/24/2009
10/27/2009
2/26/2010
4/29/2010
7/30/2010
10/29/2010
2/25/2011
4/28/2011
7/29/2011
10/28/2011
2/24/2012
4/20/2012
7/27/2012
10/26/2012
2/22/2013
4/25/2013
8/1/2013
10/25/2013
2/21/2014
4/25/2014
7/25/2014
10/24/2014
