SPTN
LATEST_ANNOUNCEMENT_DT
10/10/2000
1/31/2001
5/10/2001
7/25/2001
10/11/2001
2/4/2002
5/8/2002
7/31/2002
10/17/2002
2/12/2003
6/24/2003
7/30/2003
10/15/2003
2/4/2004
5/5/2004
7/21/2004
10/6/2004
1/26/2005
5/4/2005
7/20/2005
10/12/2005
2/1/2006
5/10/2006
7/26/2006
10/11/2006
1/31/2007
5/16/2007
8/1/2007
10/17/2007
2/6/2008
5/14/2008
7/30/2008
10/15/2008
2/4/2009
5/13/2009
7/28/2009
10/14/2009
2/3/2010
5/12/2010
7/28/2010
10/13/2010
2/2/2011
5/11/2011
7/27/2011
10/19/2011
2/8/2012
5/16/2012
8/1/2012
10/24/2012
2/13/2013
5/22/2013
5/21/2014
8/13/2014
11/5/2014
3/3/2015
5/27/2015
8/19/2015
11/11/2015
2/24/2016
05/25/2016
08/17/2016
11/09/2016
02/22/2017
05/24/2017
