VAS
LATEST_ANNOUNCEMENT_DT
3/31/2001
6/30/2001
11/13/2001
2/14/2002
4/30/2002
7/30/2002
10/30/2002
2/20/2003
4/30/2003
7/30/2003
10/29/2003
2/18/2004
4/28/2004
7/29/2004
10/28/2004
2/24/2005
4/28/2005
7/27/2005
11/3/2005
2/23/2006
5/8/2006
8/8/2006
11/2/2006
2/22/2007
5/7/2007
