COO
LATEST_ANNOUNCEMENT_DT
5/30/1996
8/27/1996
12/12/1996
2/25/1997
5/21/1997
8/27/1997
12/11/1997
2/25/1998
5/27/1998
8/26/1998
12/14/1998
2/23/1999
5/27/1999
8/26/1999
12/13/1999
2/23/2000
5/25/2000
8/30/2000
12/12/2000
2/28/2001
5/24/2001
8/29/2001
12/11/2001
2/27/2002
6/4/2002
9/4/2002
12/12/2002
2/26/2003
6/4/2003
9/3/2003
12/11/2003
3/2/2004
6/3/2004
8/31/2004
12/13/2004
3/9/2005
6/7/2005
9/7/2005
12/12/2005
3/7/2006
6/6/2006
9/7/2006
12/12/2006
3/8/2007
6/5/2007
9/6/2007
12/11/2007
3/6/2008
6/5/2008
9/4/2008
12/9/2008
3/5/2009
6/4/2009
9/3/2009
12/8/2009
3/4/2010
6/3/2010
9/2/2010
12/7/2010
3/3/2011
6/2/2011
8/31/2011
12/8/2011
3/8/2012
6/7/2012
9/6/2012
12/6/2012
3/7/2013
6/6/2013
9/5/2013
12/5/2013
3/6/2014
6/5/2014
9/4/2014
12/4/2014
3/5/2015
6/4/2015
9/3/2015
12/3/2015
3/3/2016
06/02/2016
09/01/2016
12/08/2016
03/02/2017
06/01/2017
