PTC
LATEST_ANNOUNCEMENT_DT
4/14/1992
7/14/1992
10/23/1992
1/14/1993
4/29/1993
7/15/1993
10/21/1993
1/17/1994
4/14/1994
7/14/1994
10/20/1994
1/12/1995
4/13/1995
7/13/1995
10/19/1995
1/16/1996
4/11/1996
7/11/1996
10/17/1996
1/15/1997
4/10/1997
7/10/1997
10/16/1997
1/15/1998
4/16/1998
7/16/1998
10/15/1998
1/19/1999
4/20/1999
7/20/1999
10/19/1999
1/18/2000
4/18/2000
7/18/2000
10/17/2000
1/16/2001
4/17/2001
7/17/2001
10/16/2001
1/15/2002
4/16/2002
7/16/2002
10/15/2002
1/14/2003
4/16/2003
7/16/2003
10/22/2003
1/21/2004
4/21/2004
7/21/2004
10/20/2004
1/19/2005
4/27/2005
7/20/2005
11/2/2005
1/25/2006
4/26/2006
7/26/2006
11/1/2006
1/24/2007
4/25/2007
7/25/2007
10/31/2007
1/23/2008
4/23/2008
7/22/2008
10/28/2008
1/27/2009
4/28/2009
7/28/2009
10/27/2009
1/26/2010
4/27/2010
7/27/2010
10/26/2010
1/26/2011
4/27/2011
7/26/2011
10/26/2011
1/25/2012
4/25/2012
7/25/2012
10/31/2012
1/23/2013
4/24/2013
7/24/2013
11/6/2013
1/22/2014
4/23/2014
7/23/2014
11/5/2014
1/28/2015
4/29/2015
7/29/2015
10/28/2015
01/20/2016
04/20/2016
07/20/2016
10/26/2016
01/18/2017
04/19/2017
