DORM
LATEST_ANNOUNCEMENT_DT
5/3/1996
8/2/1996
10/25/1996
2/28/1997
4/25/1997
7/25/1997
10/24/1997
2/20/1998
4/24/1998
7/31/1998
10/30/1998
2/26/1999
4/30/1999
7/30/1999
10/29/1999
3/3/2000
5/5/2000
7/28/2000
11/3/2000
3/2/2001
5/4/2001
7/27/2001
10/26/2001
3/1/2002
5/3/2002
7/31/2002
10/25/2002
2/14/2003
5/2/2003
7/25/2003
10/27/2003
2/13/2004
4/30/2004
7/30/2004
10/27/2004
2/13/2005
4/29/2005
7/29/2005
10/28/2005
2/23/2006
5/4/2006
8/3/2006
10/30/2006
2/23/2007
5/3/2007
8/1/2007
10/25/2007
2/22/2008
5/2/2008
8/1/2008
10/31/2008
2/27/2009
5/1/2009
7/31/2009
10/30/2009
2/23/2010
4/27/2010
7/27/2010
10/26/2010
2/23/2011
4/26/2011
7/26/2011
10/26/2011
2/22/2012
5/1/2012
7/31/2012
11/1/2012
2/21/2013
4/30/2013
7/30/2013
10/29/2013
2/19/2014
4/29/2014
7/30/2014
10/28/2014
2/18/2015
4/28/2015
7/29/2015
10/28/2015
2/17/2016
04/26/2016
08/03/2016
10/26/2016
02/22/2017
04/25/2017
