UWR
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/23/1997
4/22/1997
7/17/1997
10/20/1997
1/22/1998
4/16/1998
7/16/1998
10/15/1998
1/21/1999
4/15/1999
7/15/1999
10/21/1999
2/4/2000
4/20/2000
