MYR
LATEST_ANNOUNCEMENT_DT
5/21/1996
8/21/1996
11/19/1996
3/25/1997
5/20/1997
8/19/1997
11/18/1997
3/18/1998
5/20/1998
9/15/1998
11/17/1998
3/24/1999
5/20/1999
8/25/1999
11/18/1999
3/20/2000
5/17/2000
8/16/2000
11/16/2000
3/21/2001
5/22/2001
9/18/2001
12/17/2001
2/6/2002
6/18/2002
8/8/2002
12/17/2002
6/19/2003
8/7/2003
10/31/2003
2/3/2004
6/8/2004
7/27/2004
10/27/2004
2/3/2005
6/9/2005
8/8/2005
11/8/2005
