BKS
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/15/1996
11/14/1996
3/13/1997
5/22/1997
8/21/1997
11/20/1997
3/12/1998
5/21/1998
8/20/1998
11/19/1998
3/11/1999
5/19/1999
8/19/1999
11/18/1999
3/16/2000
5/18/2000
8/17/2000
11/16/2000
3/22/2001
5/24/2001
8/23/2001
11/29/2001
3/21/2002
5/23/2002
8/22/2002
11/21/2002
3/20/2003
5/22/2003
8/21/2003
11/20/2003
3/18/2004
5/18/2004
8/19/2004
11/15/2004
3/17/2005
5/17/2005
8/18/2005
11/17/2005
3/16/2006
5/18/2006
8/17/2006
11/16/2006
3/22/2007
5/24/2007
8/23/2007
11/20/2007
3/20/2008
5/22/2008
8/21/2008
11/20/2008
3/19/2009
5/21/2009
11/24/2009
2/23/2010
6/28/2010
8/24/2010
11/30/2010
2/22/2011
6/21/2011
8/30/2011
12/1/2011
2/21/2012
6/19/2012
8/21/2012
11/29/2012
2/28/2013
6/25/2013
8/20/2013
11/26/2013
2/26/2014
6/25/2014
9/9/2014
12/4/2014
3/10/2015
6/25/2015
9/9/2015
12/3/2015
3/3/2016
06/22/2016
09/08/2016
11/22/2016
03/02/2017
06/28/2017
