ECPG
LATEST_ANNOUNCEMENT_DT
6/24/1999
8/23/1999
11/2/1999
3/31/2000
5/22/2000
8/17/2000
11/16/2000
3/31/2001
5/15/2001
9/28/2001
11/13/2001
3/27/2002
5/15/2002
8/14/2002
11/12/2002
3/17/2003
5/12/2003
8/13/2003
11/12/2003
3/2/2004
5/4/2004
8/3/2004
10/28/2004
3/3/2005
5/9/2005
8/4/2005
11/3/2005
3/15/2006
5/9/2006
8/3/2006
11/2/2006
2/28/2007
5/8/2007
8/8/2007
10/25/2007
2/19/2008
5/1/2008
8/4/2008
10/28/2008
2/11/2009
4/29/2009
7/30/2009
10/28/2009
2/8/2010
4/27/2010
8/2/2010
10/26/2010
2/14/2011
4/27/2011
8/1/2011
10/26/2011
2/9/2012
5/9/2012
8/2/2012
11/1/2012
2/13/2013
5/9/2013
8/8/2013
11/7/2013
2/25/2014
5/8/2014
8/7/2014
11/6/2014
2/26/2015
5/7/2015
8/10/2015
11/5/2015
2/24/2016
05/10/2016
08/04/2016
11/09/2016
02/23/2017
05/09/2017
