NDC
LATEST_ANNOUNCEMENT_DT
3/22/1996
7/16/1996
9/17/1996
12/17/1996
3/12/1997
7/16/1997
9/17/1997
12/17/1997
3/18/1998
7/15/1998
9/23/1998
12/17/1998
3/24/1999
7/21/1999
9/23/1999
12/21/1999
3/22/2000
7/20/2000
9/19/2000
12/20/2000
3/21/2001
7/19/2001
9/19/2001
12/19/2001
3/20/2002
7/24/2002
9/18/2002
12/18/2002
3/19/2003
7/29/2003
10/1/2003
1/7/2004
4/19/2004
8/9/2004
9/30/2004
3/21/2005
4/6/2005
8/10/2005
10/12/2005
