ARE
LATEST_ANNOUNCEMENT_DT
5/5/1997
8/5/1997
11/4/1997
2/12/1998
5/1/1998
7/31/1998
11/4/1998
2/10/1999
5/10/1999
8/5/1999
11/4/1999
2/10/2000
5/9/2000
8/3/2000
11/9/2000
2/8/2001
5/8/2001
8/9/2001
11/8/2001
5/6/2002
8/2/2002
10/31/2002
2/21/2003
5/15/2003
8/8/2003
11/5/2003
2/12/2004
5/3/2004
8/2/2004
11/4/2004
2/14/2005
5/11/2005
8/2/2005
10/31/2005
2/9/2006
5/8/2006
8/7/2006
11/2/2006
2/8/2007
5/3/2007
8/2/2007
11/5/2007
2/11/2008
5/8/2008
8/7/2008
10/30/2008
2/9/2009
5/7/2009
8/6/2009
11/5/2009
2/11/2010
4/29/2010
7/29/2010
11/3/2010
2/2/2011
5/4/2011
7/27/2011
10/25/2011
2/7/2012
5/1/2012
7/30/2012
10/26/2012
2/7/2013
4/29/2013
7/29/2013
10/28/2013
2/3/2014
5/5/2014
7/28/2014
11/3/2014
2/2/2015
4/27/2015
7/27/2015
11/02/2015
02/01/2016
05/02/2016
08/01/2016
10/31/2016
01/30/2017
05/01/2017
