SAM
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/24/1996
10/22/1996
2/26/1997
4/22/1997
7/24/1997
10/23/1997
2/17/1998
4/20/1998
7/21/1998
10/19/1998
2/22/1999
4/19/1999
7/19/1999
10/19/1999
2/22/2000
4/18/2000
7/18/2000
10/17/2000
2/20/2001
4/17/2001
7/17/2001
10/16/2001
2/26/2002
4/16/2002
7/16/2002
10/15/2002
2/13/2003
4/15/2003
7/29/2003
10/28/2003
2/11/2004
4/26/2004
7/27/2004
11/3/2004
3/9/2005
5/3/2005
8/3/2005
11/2/2005
3/7/2006
5/10/2006
8/8/2006
11/7/2006
3/13/2007
5/8/2007
8/7/2007
11/6/2007
3/11/2008
5/6/2008
8/5/2008
11/4/2008
3/10/2009
5/6/2009
8/4/2009
11/5/2009
3/9/2010
5/5/2010
8/3/2010
11/4/2010
3/8/2011
5/4/2011
8/2/2011
11/1/2011
2/22/2012
5/2/2012
8/1/2012
11/1/2012
2/20/2013
5/1/2013
7/31/2013
10/30/2013
2/25/2014
4/30/2014
7/30/2014
10/30/2014
2/24/2015
4/29/2015
7/30/2015
10/29/2015
2/18/2016
04/21/2016
07/21/2016
10/20/2016
02/22/2017
04/20/2017
