UNF
LATEST_ANNOUNCEMENT_DT
4/3/1996
6/28/1996
11/6/1996
1/8/1997
4/3/1997
7/1/1997
11/5/1997
1/13/1998
4/1/1998
6/22/1998
11/3/1998
1/12/1999
4/1/1999
7/1/1999
11/2/1999
1/11/2000
3/30/2000
6/29/2000
11/3/2000
1/8/2001
3/29/2001
7/10/2001
10/31/2001
1/7/2002
4/2/2002
7/16/2002
11/11/2002
1/13/2003
4/2/2003
7/7/2003
11/4/2003
1/12/2004
3/31/2004
6/30/2004
10/26/2004
1/5/2005
3/26/2005
6/29/2005
10/31/2005
1/5/2006
3/30/2006
6/27/2006
10/18/2006
1/3/2007
3/28/2007
6/27/2007
10/24/2007
1/3/2008
4/2/2008
7/2/2008
10/28/2008
1/7/2009
4/1/2009
7/1/2009
10/28/2009
1/6/2010
3/31/2010
6/30/2010
10/19/2010
1/5/2011
3/30/2011
6/29/2011
10/18/2011
1/4/2012
3/28/2012
6/27/2012
10/17/2012
1/3/2013
3/27/2013
6/26/2013
10/23/2013
1/8/2014
4/2/2014
7/2/2014
10/22/2014
1/7/2015
4/1/2015
7/1/2015
10/21/2015
1/6/2016
3/30/2016
06/29/2016
10/19/2016
01/04/2017
03/29/2017
