TUES
LATEST_ANNOUNCEMENT_DT
5/12/1997
8/11/1997
11/5/1997
3/18/1998
5/15/1998
8/14/1998
11/2/1998
3/18/1999
4/29/1999
7/29/1999
10/27/1999
2/22/2000
4/25/2000
8/1/2000
11/7/2000
2/20/2001
4/24/2001
7/31/2001
10/30/2001
2/19/2002
4/11/2002
7/30/2002
10/29/2002
2/25/2003
4/24/2003
7/24/2003
10/23/2003
2/24/2004
4/22/2004
7/22/2004
10/21/2004
2/22/2005
4/21/2005
7/21/2005
10/25/2005
2/23/2006
4/25/2006
7/25/2006
10/26/2006
2/27/2007
5/1/2007
8/28/2007
10/31/2007
1/29/2008
4/29/2008
8/26/2008
10/28/2008
1/27/2009
4/27/2009
8/25/2009
10/27/2009
1/26/2010
4/26/2010
8/23/2010
10/25/2010
1/31/2011
4/25/2011
8/22/2011
10/24/2011
1/23/2012
4/23/2012
8/20/2012
10/22/2012
1/22/2013
4/25/2013
8/20/2013
10/30/2013
1/30/2014
5/8/2014
8/21/2014
10/30/2014
1/29/2015
4/30/2015
8/20/2015
10/29/2015
1/29/2016
04/29/2016
08/19/2016
10/27/2016
02/03/2017
05/05/2017
