SMSC
LATEST_ANNOUNCEMENT_DT
4/25/1996
6/27/1996
9/26/1996
12/16/1996
5/7/1997
6/25/1997
10/1/1997
12/16/1997
4/13/1998
6/22/1998
9/23/1998
12/16/1998
4/27/1999
6/17/1999
9/22/1999
12/20/1999
4/5/2000
6/14/2000
9/13/2000
12/15/2000
4/5/2001
6/18/2001
9/17/2001
12/17/2001
4/8/2002
6/17/2002
9/17/2002
12/17/2002
4/7/2003
6/16/2003
9/16/2003
12/15/2003
4/12/2004
6/14/2004
9/20/2004
12/20/2004
4/18/2005
6/29/2005
9/21/2005
12/15/2005
4/18/2006
7/10/2006
10/5/2006
12/21/2006
4/30/2007
6/27/2007
9/25/2007
12/19/2007
4/17/2008
7/1/2008
10/1/2008
1/6/2009
4/8/2009
6/25/2009
10/1/2009
1/7/2010
4/7/2010
6/28/2010
9/28/2010
1/10/2011
4/6/2011
6/27/2011
9/27/2011
1/9/2012
4/10/2012
7/3/2012
