PEGS
LATEST_ANNOUNCEMENT_DT
6/5/1997
9/22/1997
10/28/1997
1/27/1998
4/28/1998
7/28/1998
10/20/1998
2/2/1999
4/26/1999
7/27/1999
10/26/1999
2/1/2000
5/1/2000
8/1/2000
11/1/2000
3/22/2001
4/30/2001
7/31/2001
10/30/2001
2/4/2002
4/30/2002
7/30/2002
10/29/2002
2/4/2003
4/30/2003
8/5/2003
10/28/2003
2/3/2004
4/27/2004
7/27/2004
10/26/2004
2/8/2005
5/3/2005
8/4/2005
11/9/2005
3/14/2006
