SXCL
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/18/1996
10/17/1996
1/20/1997
4/29/1997
7/24/1997
10/28/1997
1/20/1998
4/30/1998
7/23/1998
10/22/1998
1/25/1999
4/29/1999
7/22/1999
10/21/1999
1/20/2000
4/27/2000
7/20/2000
10/19/2000
1/18/2001
4/26/2001
7/25/2001
10/18/2001
1/24/2002
4/25/2002
7/25/2002
10/24/2002
1/23/2003
4/28/2003
7/28/2003
10/27/2003
1/26/2004
4/29/2004
7/29/2004
10/28/2004
1/27/2005
4/28/2005
7/28/2005
11/3/2005
1/31/2006
5/11/2006
8/1/2006
10/30/2006
1/30/2007
5/10/2007
8/7/2007
10/31/2007
1/30/2008
5/8/2008
7/31/2008
10/21/2008
1/28/2009
5/7/2009
7/30/2009
10/29/2009
1/29/2010
5/27/2010
5/10/2011
8/9/2011
11/4/2011
3/13/2012
5/10/2012
8/9/2012
11/8/2012
3/11/2013
5/7/2013
8/7/2013
11/7/2013
3/12/2014
5/9/2014
8/7/2014
11/6/2014
3/16/2015
5/11/2015
8/6/2015
11/4/2015
3/11/2016
