ANN
LATEST_ANNOUNCEMENT_DT
5/16/1996
8/20/1996
11/19/1996
3/6/1997
5/20/1997
8/19/1997
11/18/1997
3/24/1998
5/19/1998
8/18/1998
11/17/1998
3/11/1999
5/18/1999
8/17/1999
11/16/1999
3/14/2000
5/18/2000
8/10/2000
11/8/2000
3/8/2001
5/16/2001
8/15/2001
11/14/2001
3/6/2002
5/15/2002
8/14/2002
11/13/2002
3/11/2003
5/14/2003
8/13/2003
11/12/2003
3/9/2004
5/12/2004
8/11/2004
11/10/2004
3/17/2005
5/19/2005
8/19/2005
11/18/2005
3/10/2006
5/19/2006
8/18/2006
11/17/2006
3/16/2007
5/24/2007
8/24/2007
11/16/2007
3/14/2008
5/22/2008
8/22/2008
11/21/2008
3/6/2009
5/20/2009
8/21/2009
11/20/2009
3/12/2010
5/21/2010
8/20/2010
11/19/2010
3/11/2011
5/20/2011
8/19/2011
11/18/2011
3/9/2012
5/18/2012
8/17/2012
11/28/2012
3/8/2013
6/6/2013
8/23/2013
11/22/2013
3/14/2014
5/30/2014
8/22/2014
11/21/2014
3/13/2015
5/22/2015
