VRTU
LATEST_ANNOUNCEMENT_DT
9/5/2007
10/31/2007
1/31/2008
5/20/2008
7/30/2008
10/29/2008
1/28/2009
5/13/2009
7/30/2009
11/5/2009
2/1/2010
5/12/2010
7/28/2010
10/27/2010
1/26/2011
5/11/2011
8/1/2011
11/2/2011
1/31/2012
5/9/2012
7/30/2012
11/1/2012
1/30/2013
5/8/2013
8/1/2013
11/4/2013
1/30/2014
5/12/2014
8/5/2014
10/30/2014
2/4/2015
5/11/2015
7/28/2015
11/4/2015
2/8/2016
05/16/2016
08/09/2016
11/09/2016
02/09/2017
05/15/2017
