SANM
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/22/1996
10/24/1996
1/13/1997
4/14/1997
7/14/1997
10/27/1997
1/20/1998
4/13/1998
7/13/1998
10/23/1998
1/19/1999
4/19/1999
7/19/1999
10/25/1999
1/18/2000
4/17/2000
7/17/2000
10/23/2000
1/17/2001
4/18/2001
7/18/2001
10/24/2001
1/24/2002
4/18/2002
7/18/2002
10/29/2002
1/21/2003
4/21/2003
7/21/2003
10/23/2003
1/20/2004
4/20/2004
7/20/2004
10/28/2004
1/27/2005
4/27/2005
7/26/2005
11/3/2005
1/30/2006
4/25/2006
12/13/2006
1/3/2007
1/25/2007
4/24/2007
7/25/2007
10/30/2007
1/23/2008
4/23/2008
7/23/2008
10/29/2008
1/21/2009
4/22/2009
7/22/2009
11/4/2009
1/26/2010
4/26/2010
7/26/2010
11/1/2010
1/24/2011
4/25/2011
7/25/2011
11/1/2011
1/18/2012
4/23/2012
7/23/2012
10/30/2012
1/28/2013
4/22/2013
7/22/2013
10/28/2013
1/27/2014
4/22/2014
7/21/2014
10/27/2014
1/26/2015
4/20/2015
7/20/2015
11/2/2015
1/25/2016
04/25/2016
07/25/2016
11/01/2016
01/30/2017
04/24/2017
