JAKK
LATEST_ANNOUNCEMENT_DT
6/7/1996
7/23/1996
10/28/1996
2/25/1997
5/7/1997
7/23/1997
10/22/1997
2/19/1998
4/28/1998
7/22/1998
11/16/1998
2/23/1999
4/12/1999
7/27/1999
10/26/1999
2/16/2000
4/25/2000
7/25/2000
10/25/2000
4/2/2001
4/23/2001
7/19/2001
10/18/2001
2/12/2002
4/23/2002
7/22/2002
10/22/2002
2/11/2003
4/22/2003
7/22/2003
10/21/2003
2/17/2004
4/20/2004
7/20/2004
10/19/2004
2/22/2005
4/20/2005
7/20/2005
10/19/2005
2/14/2006
4/20/2006
7/19/2006
10/19/2006
2/26/2007
4/26/2007
7/25/2007
10/22/2007
2/20/2008
4/23/2008
7/23/2008
10/21/2008
2/18/2009
4/23/2009
7/28/2009
10/21/2009
3/2/2010
4/22/2010
7/22/2010
10/26/2010
2/15/2011
4/26/2011
7/20/2011
10/18/2011
2/21/2012
4/18/2012
7/17/2012
10/23/2012
2/21/2013
4/25/2013
7/17/2013
10/23/2013
2/26/2014
4/23/2014
7/23/2014
10/23/2014
2/25/2015
4/21/2015
7/22/2015
10/26/2015
2/23/2016
