AEIC
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/29/1996
10/29/1996
2/12/1997
4/29/1997
7/24/1997
11/3/1997
2/11/1998
5/1/1998
7/30/1998
2/9/1999
5/7/1999
8/3/1999
11/1/1999
