SAFT
LATEST_ANNOUNCEMENT_DT
12/20/2002
3/24/2003
5/14/2003
8/8/2003
11/12/2003
3/9/2004
5/5/2004
8/4/2004
11/4/2004
3/10/2005
5/5/2005
8/5/2005
11/3/2005
3/10/2006
5/5/2006
8/4/2006
11/3/2006
2/26/2007
5/7/2007
8/3/2007
11/5/2007
3/10/2008
5/6/2008
8/4/2008
11/3/2008
3/9/2009
5/5/2009
8/4/2009
11/2/2009
3/9/2010
5/5/2010
8/4/2010
11/2/2010
3/9/2011
5/4/2011
8/3/2011
11/2/2011
3/8/2012
5/3/2012
8/1/2012
11/2/2012
3/11/2013
5/6/2013
8/7/2013
11/4/2013
3/11/2014
5/6/2014
8/6/2014
11/4/2014
2/24/2015
5/5/2015
8/5/2015
11/3/2015
2/23/2016
5/3/2016
8/3/2016
