VIP
LATEST_ANNOUNCEMENT_DT
5/26/2010
9/2/2010
12/2/2010
3/29/2011
6/1/2011
9/7/2011
11/14/2011
3/13/2012
5/15/2012
8/15/2012
11/14/2012
3/6/2013
5/15/2013
8/7/2013
11/6/2013
3/6/2014
5/14/2014
8/6/2014
11/12/2014
2/25/2015
5/13/2015
8/6/2015
11/06/2015
02/17/2016
05/12/2016
08/04/2016
11/03/2016
02/27/2017
