PEI
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/12/1996
5/15/1998
8/13/1998
11/13/1998
3/3/1999
5/13/1999
6/30/1999
11/12/1999
3/9/2000
5/9/2000
8/9/2000
11/9/2000
2/28/2001
5/9/2001
8/9/2001
11/8/2001
3/11/2002
5/2/2002
8/8/2002
10/31/2002
3/31/2003
5/14/2003
8/11/2003
11/5/2003
2/25/2004
5/5/2004
8/5/2004
11/8/2004
3/3/2005
5/2/2005
8/4/2005
10/31/2005
3/2/2006
5/4/2006
7/27/2006
11/2/2006
2/27/2007
5/1/2007
7/31/2007
10/30/2007
2/26/2008
5/6/2008
8/7/2008
11/3/2008
2/25/2009
4/30/2009
7/29/2009
10/28/2009
3/12/2010
4/29/2010
8/3/2010
11/4/2010
2/23/2011
4/27/2011
7/28/2011
10/27/2011
2/23/2012
4/24/2012
7/31/2012
10/24/2012
2/25/2013
4/22/2013
7/23/2013
10/28/2013
2/18/2014
4/23/2014
7/29/2014
10/28/2014
2/17/2015
4/28/2015
7/28/2015
10/27/2015
2/23/2016
04/26/2016
07/26/2016
11/02/2016
02/23/2017
04/25/2017
