SHFL
LATEST_ANNOUNCEMENT_DT
5/22/1996
8/23/1996
12/12/1996
2/20/1997
5/22/1997
8/25/1997
12/10/1997
2/20/1998
5/19/1998
8/24/1998
12/14/1998
2/23/1999
5/19/1999
8/19/1999
12/16/1999
2/18/2000
5/22/2000
8/17/2000
12/14/2000
2/22/2001
5/22/2001
8/23/2001
12/12/2001
2/22/2002
5/23/2002
8/22/2002
12/12/2002
2/20/2003
5/22/2003
8/21/2003
12/11/2003
2/26/2004
5/27/2004
9/2/2004
12/9/2004
3/3/2005
6/9/2005
9/6/2005
12/8/2005
3/20/2006
6/8/2006
9/7/2006
12/21/2006
4/23/2007
6/6/2007
9/10/2007
1/10/2008
3/17/2008
6/9/2008
9/9/2008
1/14/2009
3/12/2009
6/9/2009
9/9/2009
1/14/2010
3/11/2010
6/9/2010
9/8/2010
1/13/2011
3/10/2011
6/8/2011
8/31/2011
12/20/2011
3/5/2012
6/4/2012
9/10/2012
12/17/2012
3/4/2013
6/4/2013
9/6/2013
