BRL
LATEST_ANNOUNCEMENT_DT
4/29/1996
8/29/1996
10/28/1996
1/23/1997
4/14/1997
8/28/1997
10/23/1997
1/22/1998
4/30/1998
8/20/1998
10/22/1998
1/21/1999
4/21/1999
8/10/1999
10/21/1999
1/20/2000
4/20/2000
8/8/2000
10/24/2000
2/8/2001
5/10/2001
8/7/2001
10/23/2001
1/29/2002
5/8/2002
8/14/2002
11/7/2002
1/21/2003
4/24/2003
8/7/2003
11/6/2003
1/26/2004
4/28/2004
8/5/2004
11/4/2004
2/2/2005
5/5/2005
9/8/2005
11/1/2005
2/7/2006
5/4/2006
8/15/2006
5/9/2007
8/8/2007
11/8/2007
2/28/2008
5/8/2008
8/7/2008
11/6/2008
