ORIT
LATEST_ANNOUNCEMENT_DT
1/19/2007
1/19/2007
4/30/2007
8/1/2007
10/29/2007
1/29/2008
4/25/2008
8/6/2008
10/29/2008
1/30/2009
4/28/2009
7/31/2009
10/30/2009
1/29/2010
4/26/2010
8/3/2010
10/28/2010
1/28/2011
4/26/2011
7/25/2011
10/28/2011
1/30/2012
4/24/2012
7/25/2012
10/25/2012
1/24/2013
4/24/2013
7/24/2013
10/23/2013
1/23/2014
4/23/2014
7/24/2014
10/22/2014
1/26/2015
4/22/2015
7/27/2015
10/26/2015
1/26/2016
04/25/2016
08/01/2016
10/24/2016
01/24/2017
04/24/2017
