SAIA
LATEST_ANNOUNCEMENT_DT
5/15/2002
8/15/2002
10/17/2002
1/24/2003
4/24/2003
7/17/2003
10/16/2003
1/22/2004
4/21/2004
7/15/2004
10/19/2004
1/25/2005
4/20/2005
7/18/2005
10/25/2005
1/24/2006
4/20/2006
7/20/2006
10/24/2006
1/31/2007
4/20/2007
7/24/2007
10/26/2007
1/30/2008
4/25/2008
7/25/2008
10/24/2008
1/30/2009
4/24/2009
7/24/2009
10/23/2009
1/29/2010
4/29/2010
7/29/2010
10/28/2010
1/31/2011
4/28/2011
7/27/2011
10/26/2011
1/31/2012
4/27/2012
7/27/2012
11/1/2012
1/30/2013
4/26/2013
7/26/2013
10/30/2013
1/31/2014
4/25/2014
7/30/2014
10/28/2014
1/30/2015
4/29/2015
7/29/2015
10/28/2015
2/5/2016
04/27/2016
07/29/2016
10/26/2016
02/03/2017
04/26/2017
