FRCMQ
LATEST_ANNOUNCEMENT_DT
5/5/1999
8/13/1999
11/12/1999
3/30/2000
5/11/2000
8/11/2000
11/14/2000
4/2/2001
5/14/2001
8/14/2001
11/5/2001
3/27/2002
5/6/2002
8/7/2002
11/13/2002
3/22/2003
5/13/2003
8/11/2003
11/6/2003
3/22/2004
5/5/2004
8/12/2004
11/12/2004
3/22/2005
5/4/2005
8/2/2005
11/8/2005
2/23/2006
5/3/2006
8/1/2006
11/1/2006
2/21/2007
5/3/2007
8/9/2007
11/2/2007
2/28/2008
5/16/2008
8/7/2008
11/6/2008
3/5/2009
5/5/2009
8/5/2009
11/20/2009
5/28/2010
6/18/2010
8/5/2010
11/9/2010
