GDI
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/24/1996
10/30/1996
2/5/1997
4/23/1997
7/23/1997
10/22/1997
2/11/1998
4/22/1998
7/22/1998
10/21/1998
2/10/1999
4/21/1999
7/21/1999
10/20/1999
2/9/2000
4/19/2000
7/19/2000
10/18/2000
2/14/2001
4/25/2001
7/25/2001
10/24/2001
2/13/2002
4/24/2002
7/24/2002
10/23/2002
2/5/2003
4/23/2003
7/23/2003
10/20/2003
2/3/2004
4/28/2004
7/28/2004
10/27/2004
2/7/2005
4/25/2005
7/20/2005
10/26/2005
2/7/2006
4/26/2006
7/26/2006
10/25/2006
2/7/2007
4/25/2007
7/25/2007
10/24/2007
2/7/2008
4/23/2008
7/23/2008
10/22/2008
2/12/2009
4/23/2009
7/23/2009
10/22/2009
2/11/2010
4/22/2010
7/22/2010
10/21/2010
2/10/2011
4/20/2011
7/21/2011
10/20/2011
2/9/2012
4/19/2012
7/19/2012
10/29/2012
2/22/2013
4/26/2013
