ANST
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/28/1996
11/19/1996
2/18/1997
5/28/1997
8/19/1997
11/13/1997
2/23/1998
5/27/1998
8/25/1998
11/17/1998
2/16/1999
5/26/1999
8/18/1999
11/16/1999
2/15/2000
5/24/2000
8/15/2000
11/14/2000
2/13/2001
5/29/2001
9/10/2001
11/14/2001
2/19/2002
5/29/2002
8/21/2002
11/20/2002
2/19/2003
5/28/2003
8/20/2003
11/19/2003
2/18/2004
5/27/2004
8/18/2004
11/18/2004
2/16/2005
5/26/2005
8/18/2005
11/16/2005
2/14/2006
5/23/2006
8/24/2006
11/14/2006
2/13/2007
5/23/2007
8/14/2007
11/14/2007
2/14/2008
5/29/2008
