STLD
LATEST_ANNOUNCEMENT_DT
1/21/1997
4/8/1997
7/10/1997
10/7/1997
1/20/1998
4/15/1998
7/15/1998
10/14/1998
2/2/1999
5/7/1999
7/13/1999
10/12/1999
2/1/2000
4/11/2000
7/18/2000
10/19/2000
1/30/2001
4/17/2001
7/24/2001
10/16/2001
2/5/2002
4/16/2002
7/10/2002
10/14/2002
1/27/2003
4/21/2003
7/21/2003
10/22/2003
2/4/2004
4/14/2004
7/19/2004
10/18/2004
2/2/2005
4/20/2005
7/18/2005
10/19/2005
1/23/2006
4/19/2006
7/19/2006
10/18/2006
1/23/2007
4/16/2007
7/23/2007
10/16/2007
1/28/2008
4/21/2008
7/21/2008
10/15/2008
1/26/2009
4/22/2009
7/22/2009
10/19/2009
2/3/2010
4/19/2010
7/19/2010
10/18/2010
1/24/2011
4/18/2011
7/18/2011
10/17/2011
1/24/2012
4/18/2012
7/23/2012
10/17/2012
1/28/2013
4/17/2013
7/17/2013
10/16/2013
1/27/2014
4/16/2014
7/21/2014
10/20/2014
1/28/2015
4/20/2015
7/20/2015
10/19/2015
1/25/2016
04/20/2016
07/18/2016
10/19/2016
01/24/2017
04/19/2017
