3542013Q
LATEST_ANNOUNCEMENT_DT
4/12/1996
7/15/1996
10/11/1996
1/16/1997
4/10/1997
7/11/1997
10/9/1997
1/21/1998
4/16/1998
7/16/1998
10/14/1998
1/20/1999
4/15/1999
7/15/1999
10/14/1999
1/18/2000
4/13/2000
7/17/2000
10/23/2000
1/25/2001
4/19/2001
7/18/2001
10/22/2001
1/30/2002
4/22/2002
7/19/2002
10/23/2002
2/3/2003
4/29/2003
7/29/2003
10/30/2003
1/29/2004
4/22/2004
7/23/2004
10/22/2004
1/28/2005
4/22/2005
