JBHT
LATEST_ANNOUNCEMENT_DT
4/14/1993
7/14/1993
10/14/1993
2/2/1994
4/14/1994
7/14/1994
10/13/1994
2/6/1995
4/14/1995
7/18/1995
10/16/1995
2/5/1996
4/12/1996
7/15/1996
10/15/1996
2/4/1997
4/16/1997
7/16/1997
10/14/1997
1/27/1998
4/14/1998
7/15/1998
10/15/1998
1/28/1999
4/14/1999
7/15/1999
10/14/1999
1/26/2000
4/13/2000
7/18/2000
10/16/2000
1/29/2001
4/16/2001
7/16/2001
10/15/2001
1/30/2002
4/15/2002
7/15/2002
10/15/2002
1/30/2003
4/14/2003
7/15/2003
10/14/2003
1/28/2004
4/14/2004
7/15/2004
10/15/2004
2/2/2005
4/14/2005
7/15/2005
10/14/2005
1/30/2006
4/17/2006
7/18/2006
10/13/2006
1/29/2007
4/16/2007
7/16/2007
10/11/2007
1/29/2008
4/14/2008
7/14/2008
10/14/2008
1/29/2009
4/13/2009
7/14/2009
10/19/2009
1/27/2010
4/14/2010
7/15/2010
10/14/2010
1/28/2011
4/13/2011
7/14/2011
10/13/2011
1/26/2012
4/12/2012
7/16/2012
10/11/2012
1/24/2013
4/11/2013
7/15/2013
10/15/2013
1/23/2014
4/14/2014
7/15/2014
10/14/2014
1/22/2015
4/14/2015
7/17/2015
10/14/2015
01/21/2016
04/18/2016
07/18/2016
10/12/2016
01/19/2017
04/17/2017
