CKR
LATEST_ANNOUNCEMENT_DT
6/12/1996
12/4/1996
3/17/1997
6/12/1997
12/4/1997
3/17/1998
6/15/1998
12/10/1998
3/18/1999
6/15/1999
12/9/1999
4/5/2000
6/29/2000
12/14/2000
4/24/2001
6/26/2001
12/6/2001
3/14/2002
6/13/2002
12/9/2002
3/26/2003
7/1/2003
12/10/2003
4/7/2004
6/22/2004
12/13/2004
4/25/2005
6/27/2005
12/12/2005
4/6/2006
6/26/2006
12/12/2006
3/30/2007
6/27/2007
12/12/2007
3/26/2008
6/25/2008
12/10/2008
3/25/2009
6/24/2009
12/8/2009
3/24/2010
6/22/2010
12/7/2010
4/15/2011
6/28/2011
12/13/2011
4/10/2012
6/27/2012
12/12/2012
