BKI
LATEST_ANNOUNCEMENT_DT
4/19/1996
8/9/1996
10/23/1996
1/22/1997
4/23/1997
8/13/1997
10/22/1997
1/22/1998
4/22/1998
8/12/1998
10/19/1998
1/13/1999
4/21/1999
8/11/1999
10/26/1999
1/18/2000
4/19/2000
8/14/2000
10/19/2000
1/17/2001
4/19/2001
8/8/2001
10/18/2001
1/16/2002
4/24/2002
8/6/2002
10/21/2002
1/21/2003
4/22/2003
7/31/2003
10/20/2003
1/20/2004
4/20/2004
8/2/2004
10/19/2004
1/26/2005
4/19/2005
9/9/2005
10/25/2005
1/24/2006
4/25/2006
8/8/2006
10/24/2006
1/30/2007
4/24/2007
8/1/2007
10/22/2007
1/29/2008
5/5/2008
8/11/2008
10/28/2008
1/26/2009
4/28/2009
8/4/2009
11/3/2009
1/26/2010
4/27/2010
8/3/2010
10/27/2010
1/25/2011
4/26/2011
8/2/2011
10/25/2011
1/25/2012
4/24/2012
8/7/2012
10/23/2012
1/29/2013
4/30/2013
8/12/2013
