RUTH
LATEST_ANNOUNCEMENT_DT
6/7/2005
10/14/2005
11/14/2005
2/21/2006
4/24/2006
7/26/2006
11/1/2006
2/21/2007
5/1/2007
7/31/2007
11/6/2007
2/21/2008
5/6/2008
8/5/2008
11/5/2008
2/27/2009
5/5/2009
7/31/2009
10/30/2009
2/19/2010
4/30/2010
7/30/2010
10/29/2010
2/18/2011
4/29/2011
7/29/2011
10/26/2011
2/10/2012
4/27/2012
7/27/2012
10/30/2012
2/15/2013
5/3/2013
8/2/2013
11/1/2013
2/21/2014
4/28/2014
8/1/2014
11/5/2014
2/13/2015
5/1/2015
7/31/2015
10/30/2015
2/12/2016
04/28/2016
07/29/2016
10/28/2016
02/17/2017
04/27/2017
