WNC
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/14/1996
1/20/1997
4/21/1997
7/21/1997
10/21/1997
1/20/1998
4/20/1998
7/20/1998
10/19/1998
2/5/1999
4/21/1999
7/22/1999
10/27/1999
2/3/2000
4/26/2000
7/25/2000
10/24/2000
2/7/2001
4/24/2001
7/24/2001
10/30/2001
3/5/2002
5/13/2002
7/31/2002
11/13/2002
2/21/2003
4/29/2003
7/22/2003
10/22/2003
2/9/2004
4/21/2004
7/20/2004
10/20/2004
2/9/2005
4/20/2005
7/20/2005
10/25/2005
2/8/2006
4/27/2006
8/24/2006
11/9/2006
2/12/2007
4/30/2007
7/30/2007
10/31/2007
2/11/2008
4/28/2008
7/30/2008
10/29/2008
2/16/2009
5/13/2009
8/5/2009
11/4/2009
2/8/2010
5/4/2010
8/3/2010
11/2/2010
2/8/2011
5/3/2011
8/2/2011
11/1/2011
2/6/2012
4/30/2012
7/31/2012
10/31/2012
2/5/2013
4/30/2013
7/30/2013
10/29/2013
2/5/2014
4/28/2014
7/29/2014
10/28/2014
2/3/2015
4/27/2015
7/28/2015
10/27/2015
2/2/2016
01/31/2017
04/25/2017
