RTI
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/15/1996
10/21/1996
1/17/1997
4/17/1997
7/15/1997
10/21/1997
1/16/1998
4/20/1998
7/20/1998
11/16/1998
1/27/1999
4/22/1999
7/22/1999
10/28/1999
1/25/2000
4/19/2000
7/19/2000
10/23/2000
1/23/2001
4/23/2001
7/23/2001
10/22/2001
1/21/2002
4/22/2002
7/15/2002
10/21/2002
1/27/2003
4/21/2003
7/21/2003
10/20/2003
1/26/2004
4/26/2004
7/26/2004
10/25/2004
2/2/2005
5/10/2005
8/4/2005
10/28/2005
3/16/2006
5/3/2006
7/31/2006
10/30/2006
2/22/2007
4/30/2007
8/1/2007
10/30/2007
2/19/2008
4/29/2008
7/29/2008
11/4/2008
2/3/2009
4/28/2009
8/4/2009
11/3/2009
2/4/2010
5/4/2010
8/3/2010
11/2/2010
2/1/2011
5/3/2011
8/2/2011
11/1/2011
2/7/2012
5/3/2012
8/1/2012
10/31/2012
2/6/2013
4/30/2013
7/30/2013
11/7/2013
2/27/2014
5/6/2014
8/5/2014
11/5/2014
2/11/2015
4/28/2015
