VRA
LATEST_ANNOUNCEMENT_DT
10/7/2010
10/7/2010
10/7/2010
10/7/2010
7/1/2010
10/7/2010
10/7/2010
10/7/2010
7/1/2010
10/7/2010
12/7/2010
3/15/2011
6/1/2011
8/30/2011
12/6/2011
3/14/2012
5/31/2012
8/29/2012
12/5/2012
3/13/2013
6/5/2013
9/11/2013
12/11/2013
3/19/2014
6/5/2014
9/10/2014
12/10/2014
3/11/2015
6/3/2015
9/2/2015
12/9/2015
3/9/2016
06/01/2016
09/01/2016
12/07/2016
03/08/2017
