ER
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/8/1996
11/7/1996
2/13/1997
5/8/1997
8/7/1997
11/6/1997
2/12/1998
5/7/1998
8/4/1998
11/5/1998
2/11/1999
5/6/1999
