RSND
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/26/1996
10/28/1996
1/30/1997
4/28/1997
7/17/1997
10/22/1997
1/29/1998
4/22/1998
7/22/1998
10/21/1998
1/27/1999
4/21/1999
