CVG
LATEST_ANNOUNCEMENT_DT
10/15/1998
1/28/1999
4/19/1999
7/21/1999
10/21/1999
1/25/2000
4/19/2000
7/27/2000
10/24/2000
1/24/2001
4/23/2001
7/25/2001
10/24/2001
1/24/2002
4/24/2002
7/23/2002
10/22/2002
1/21/2003
4/22/2003
7/22/2003
10/21/2003
1/20/2004
4/20/2004
7/21/2004
10/20/2004
1/19/2005
4/26/2005
7/20/2005
10/20/2005
1/24/2006
4/25/2006
7/27/2006
10/25/2006
1/24/2007
4/26/2007
7/25/2007
10/26/2007
1/29/2008
4/29/2008
7/23/2008
10/28/2008
1/27/2009
4/28/2009
7/30/2009
10/27/2009
1/26/2010
4/27/2010
8/9/2010
11/8/2010
2/2/2011
5/3/2011
8/1/2011
11/1/2011
2/7/2012
5/8/2012
7/31/2012
10/30/2012
2/7/2013
4/30/2013
7/30/2013
11/6/2013
2/5/2014
5/12/2014
8/11/2014
11/5/2014
2/18/2015
5/5/2015
8/4/2015
11/04/2015
02/23/2016
05/09/2016
08/08/2016
11/08/2016
02/22/2017
05/08/2017
