FRK
LATEST_ANNOUNCEMENT_DT
5/1/1996
8/7/1996
12/3/1996
2/5/1997
5/7/1997
8/6/1997
12/4/1997
2/4/1998
5/6/1998
8/5/1998
12/2/1998
2/3/1999
5/5/1999
8/4/1999
12/1/1999
2/2/2000
5/3/2000
8/2/2000
12/8/2000
2/7/2001
5/2/2001
8/1/2001
12/5/2001
1/30/2002
4/24/2002
7/31/2002
11/13/2002
1/27/2003
4/22/2003
7/22/2003
11/12/2003
1/21/2004
4/20/2004
7/21/2004
11/22/2004
1/25/2005
4/25/2005
7/25/2005
11/30/2005
1/24/2006
4/25/2006
7/25/2006
11/29/2006
1/31/2007
4/30/2007
7/30/2007
11/16/2007
