AAON
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/25/1996
10/23/1996
2/12/1997
4/14/1997
7/23/1997
10/22/1997
2/9/1998
4/15/1998
7/23/1998
10/22/1998
2/16/1999
4/27/1999
7/21/1999
10/18/1999
2/15/2000
4/18/2000
8/3/2000
10/23/2000
2/14/2001
4/18/2001
7/17/2001
10/17/2001
2/13/2002
4/16/2002
7/16/2002
10/15/2002
2/12/2003
4/15/2003
7/22/2003
10/21/2003
2/11/2004
4/19/2004
7/20/2004
10/19/2004
2/14/2005
4/19/2005
8/9/2005
10/25/2005
2/15/2006
4/25/2006
8/8/2006
11/8/2006
3/14/2007
5/9/2007
8/2/2007
11/7/2007
3/12/2008
5/7/2008
8/6/2008
11/5/2008
3/11/2009
5/6/2009
8/10/2009
11/2/2009
3/15/2010
5/6/2010
8/6/2010
11/8/2010
3/10/2011
5/5/2011
8/4/2011
11/8/2011
3/14/2012
5/8/2012
8/8/2012
11/8/2012
3/14/2013
5/9/2013
8/8/2013
11/7/2013
3/13/2014
5/5/2014
8/7/2014
11/6/2014
2/27/2015
5/7/2015
8/6/2015
11/2/2015
2/25/2016
05/05/2016
08/04/2016
11/03/2016
02/23/2017
05/04/2017
