SEC
LATEST_ANNOUNCEMENT_DT
6/11/1996
8/22/1996
12/3/1996
3/20/1997
6/10/1997
9/9/1997
12/10/1997
3/24/1998
6/3/1998
9/14/1998
12/2/1998
3/23/1999
6/3/1999
9/1/1999
12/1/1999
3/21/2000
6/1/2000
9/7/2000
