GIBG
LATEST_ANNOUNCEMENT_DT
4/30/1996
7/30/1996
10/31/1996
2/13/1997
4/30/1997
7/30/1997
11/4/1997
2/19/1998
4/30/1998
7/29/1998
11/4/1998
2/18/1999
5/6/1999
8/12/1999
11/15/1999
