RTEC
LATEST_ANNOUNCEMENT_DT
1/31/2000
4/24/2000
7/24/2000
10/13/2000
1/29/2001
4/30/2001
7/30/2001
10/29/2001
1/28/2002
4/29/2002
7/29/2002
10/28/2002
2/3/2003
4/28/2003
8/4/2003
10/27/2003
2/2/2004
4/26/2004
7/26/2004
11/1/2004
2/7/2005
5/4/2005
8/1/2005
11/7/2005
1/30/2006
5/3/2006
8/7/2006
11/2/2006
2/7/2007
5/7/2007
8/7/2007
11/1/2007
2/7/2008
5/5/2008
8/4/2008
10/30/2008
2/5/2009
5/7/2009
8/6/2009
11/2/2009
2/1/2010
4/29/2010
8/2/2010
11/1/2010
1/31/2011
5/2/2011
8/1/2011
10/31/2011
1/30/2012
4/30/2012
7/30/2012
11/5/2012
2/4/2013
5/2/2013
8/1/2013
11/4/2013
2/3/2014
4/28/2014
8/4/2014
11/3/2014
2/2/2015
4/27/2015
8/3/2015
11/2/2015
2/1/2016
05/02/2016
07/28/2016
11/07/2016
02/02/2017
05/01/2017
