BMRN
LATEST_ANNOUNCEMENT_DT
8/17/1999
11/1/1999
2/18/2000
4/28/2000
7/28/2000
10/30/2000
2/22/2001
4/27/2001
7/27/2001
10/26/2001
2/25/2002
5/7/2002
8/1/2002
10/31/2002
2/9/2003
5/5/2003
8/5/2003
11/3/2003
2/3/2004
5/4/2004
8/10/2004
11/3/2004
2/23/2005
5/5/2005
8/1/2005
11/1/2005
2/23/2006
5/3/2006
8/2/2006
11/1/2006
2/20/2007
4/30/2007
8/7/2007
11/1/2007
2/26/2008
4/29/2008
8/5/2008
10/28/2008
2/18/2009
4/30/2009
7/30/2009
10/28/2009
2/23/2010
4/29/2010
8/2/2010
10/28/2010
2/17/2011
4/28/2011
7/28/2011
10/27/2011
2/16/2012
4/26/2012
8/1/2012
10/25/2012
2/21/2013
4/25/2013
7/25/2013
10/24/2013
2/26/2014
5/1/2014
7/30/2014
10/23/2014
2/25/2015
4/30/2015
8/3/2015
10/29/2015
02/25/2016
04/28/2016
08/04/2016
10/27/2016
02/23/2017
04/27/2017
