HMN
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/22/1996
10/21/1996
1/27/1997
4/28/1997
7/24/1997
10/27/1997
2/3/1998
4/28/1998
7/28/1998
11/3/1998
2/2/1999
5/3/1999
8/5/1999
11/4/1999
2/1/2000
5/4/2000
8/1/2000
10/31/2000
2/8/2001
4/26/2001
8/6/2001
11/6/2001
2/7/2002
5/2/2002
8/5/2002
11/4/2002
2/6/2003
5/1/2003
8/4/2003
10/30/2003
2/17/2004
5/5/2004
8/4/2004
11/3/2004
2/9/2005
5/4/2005
8/3/2005
11/3/2005
2/8/2006
5/3/2006
8/2/2006
11/1/2006
2/6/2007
5/2/2007
8/1/2007
10/31/2007
2/6/2008
4/30/2008
7/30/2008
10/29/2008
2/4/2009
4/29/2009
7/30/2009
10/28/2009
2/8/2010
4/28/2010
7/28/2010
10/28/2010
2/7/2011
4/26/2011
7/27/2011
10/26/2011
2/7/2012
4/25/2012
7/25/2012
10/24/2012
2/5/2013
4/24/2013
7/24/2013
10/22/2013
2/4/2014
4/24/2014
7/23/2014
10/22/2014
2/9/2015
4/22/2015
7/28/2015
10/28/2015
1/21/2016
05/02/2016
07/27/2016
10/31/2016
02/06/2017
05/01/2017
